VIN (1-10),DOL Vehicle ID,Make,Model,Model Year
1FADP5CU9G,159016147,FORD,C-MAX,2016
JA4J24A59K,8103973,MITSUBISHI,OUTLANDER,2019
3FA6P0SU7G,123951089,FORD,FUSION,2016
KNDCC3LD8K,298431304,KIA,NIRO,2019
JM3KKEHA0R,257465435,MAZDA,CX-90,2024
5UXKT0C58J,313303784,BMW,X5,2018
1C4JJXR69P,235921248,JEEP,WRANGLER,2023
WA1G2AFY6N,211484374,AUDI,Q5,2022
1FADP5CU7F,149876247,FORD,C-MAX,2015
1FADP5CU1D,135087599,FORD,C-MAX,2013
1FADP5CU6G,172679307,FORD,C-MAX,2016
5UXTS1C00M,166071125,BMW,X3,2021
JM3KJEHA2S,279944689,MAZDA,CX-70,2025
WP1AE2AY2P,229968987,PORSCHE,CAYENNE,2023
WBA8E1C30H,102426495,BMW,330E,2017
1C4JJXR66M,156810881,JEEP,WRANGLER,2021
WP1BE2AY0S,274102944,PORSCHE,CAYENNE,2025
WA1F2BFY5P,244836245,AUDI,Q5 E,2023
3FA6P0SU5G,342837785,FORD,FUSION,2016
JTDKARFP1J,475021669,TOYOTA,PRIUS PRIME (PHEV),2018
JM3KKCHA8S,275759984,MAZDA,CX-90,2025
1C4JJXP68P,249905295,JEEP,WRANGLER,2023
YV4BR0CL3K,475873639,VOLVO,XC90,2019
JTDKN3DP7C,349806075,TOYOTA,PRIUS,2012
1C4RJYC67P,258342332,JEEP,GRAND CHEROKEE,2023
YV4BR0DL5N,279355723,VOLVO,XC60,2022
JM3KKDHA6R,270999060,MAZDA,CX-90,2024
1C4JJXP61M,152453570,JEEP,WRANGLER,2021
JTDKARFPXL,264108330,TOYOTA,PRIUS PRIME (PHEV),2020
WDC0G5EB2K,213615874,MERCEDES-BENZ,GLC-CLASS,2019
JTDKARFP2H,165857576,TOYOTA,PRIUS PRIME (PHEV),2017
WBA7W4C08L,274824959,BMW,745E,2020
YV4BC0PM0G,212112883,VOLVO,XC90,2016
JTDKARFP7H,240218002,TOYOTA,PRIUS PRIME (PHEV),2017
WA1E2AFY8L,113219949,AUDI,Q5 E,2020
YV4BR0CL7L,244954993,VOLVO,XC90,2020
JTDKAMFP8M,150384993,TOYOTA,PRIUS PRIME (PHEV),2021
3FA6P0PU9F,310582751,FORD,FUSION,2015
WA1E2AFY4L,121957090,AUDI,Q5 E,2020
1FADP5CU7F,135966736,FORD,C-MAX,2015
1C4RJXN62R,258275517,JEEP,WRANGLER,2024
JTDKARFP1H,320807756,TOYOTA,PRIUS PRIME (PHEV),2017
WBA8E1C37H,236531767,BMW,330E,2017
JM3KJEHAXS,280124071,MAZDA,CX-70,2025
1FADP5CU2F,196337046,FORD,C-MAX,2015
1C4RJYE60P,245842698,JEEP,GRAND CHEROKEE,2023
1C4RJXN62R,267376427,JEEP,WRANGLER,2024
WP0AE2A75L,103682085,PORSCHE,PANAMERA,2020
1C4JJXR6XP,235164191,JEEP,WRANGLER,2023
YV4BR0PL1J,153966291,VOLVO,XC90,2018
YV4BR0DL2N,186878170,VOLVO,XC60,2022
7JRBR0FZXM,144275764,VOLVO,S60,2021
1C4RJXN64R,257802366,JEEP,WRANGLER,2024
WA1E2AFY4R,275760348,AUDI,Q5 E,2024
3FA6P0PU2H,475169061,FORD,FUSION,2017
3FA6P0SU9G,150505533,FORD,FUSION,2016
JTDKARFP6H,9497981,TOYOTA,PRIUS PRIME (PHEV),2017
WAUUPBFF7J,185422982,AUDI,A3,2018
1C4RJXN6XR,249779169,JEEP,WRANGLER,2024
WAUSPBFF1H,135207054,AUDI,A3,2017
JTDKARFP5H,202434165,TOYOTA,PRIUS PRIME (PHEV),2017
KNDCD3LD5K,217992771,KIA,NIRO,2019
WDC0G5EB2K,276655676,MERCEDES-BENZ,GLC-CLASS,2019
WA1E2AFY2R,271888998,AUDI,Q5 E,2024
5UXKT0C56J,169728884,BMW,X5,2018
JTDKARFP1J,228554161,TOYOTA,PRIUS PRIME (PHEV),2018
1C4JJXR66P,239669657,JEEP,WRANGLER,2023
WAUTPBFF0H,264376843,AUDI,A3,2017
KMHC65LD9L,8874211,HYUNDAI,IONIQ,2020
1C4RJXR67R,256201522,JEEP,WRANGLER,2024
1FADP5CU8E,177785387,FORD,C-MAX,2014
YV4BR00L0L,123402086,VOLVO,XC90,2020
1C4RJXR60R,267421780,JEEP,WRANGLER,2024
WA1F2AFY5R,270946840,AUDI,Q5 E,2024
KMHC65LD5K,144349670,HYUNDAI,IONIQ,2019
1C4RJYE6XP,267235027,JEEP,GRAND CHEROKEE,2023
3FA6P0SU0H,232121053,FORD,FUSION,2017
1C4JJXP64M,208767261,JEEP,WRANGLER,2021
LVYBC0AL7J,144423562,VOLVO,S90,2018
1FADP5CU1G,183070597,FORD,C-MAX,2016
JM3KKDHA9R,268688535,MAZDA,CX-90,2024
JTDKARFP3H,156912493,TOYOTA,PRIUS PRIME (PHEV),2017
1C4JJXR61P,249962359,JEEP,WRANGLER,2023
1C4RJXR65R,262305109,JEEP,WRANGLER,2024
JM3KKDHA0R,271646574,MAZDA,CX-90,2024
1C4RJYB61N,233928502,JEEP,GRAND CHEROKEE,2022
YV4BR0PL4J,333902845,VOLVO,XC90,2018
JTDKARFP4H,104887282,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJXN64R,267129229,JEEP,WRANGLER,2024
JTDKN3DPXE,202134691,TOYOTA,PRIUS,2014
YV4BR0CK3K,477288437,VOLVO,XC90,2019
JF2GTDNC6K,274959639,SUBARU,CROSSTREK,2019
1C4RJXR66R,277913975,JEEP,WRANGLER,2024
JTDKARFP0L,244378018,TOYOTA,PRIUS PRIME (PHEV),2020
JA4J24A57J,230249911,MITSUBISHI,OUTLANDER,2018
1C4RJYE60N,229888837,JEEP,GRAND CHEROKEE,2022
WP1AE2AY6K,9480845,PORSCHE,CAYENNE,2019
5LMYJ9YY1P,260934397,LINCOLN,AVIATOR,2023
1C4JJXP67P,220231406,JEEP,WRANGLER,2023
WP1AE2AY1K,100999097,PORSCHE,CAYENNE,2019
JM3KKEHA8R,278160697,MAZDA,CX-90,2024
3FA6P0SU7H,220798189,FORD,FUSION,2017
1C4JJXP65N,218132897,JEEP,WRANGLER,2022
JA4J24A59J,144309616,MITSUBISHI,OUTLANDER,2018
WA1E2AFYXP,240524329,AUDI,Q5 E,2023
WA1G2AFY1M,157673512,AUDI,Q5 E,2021
1FADP5CU1F,130777811,FORD,C-MAX,2015
JTDKARFP8H,348057937,TOYOTA,PRIUS PRIME (PHEV),2017
WA1E2AFY0L,106360397,AUDI,Q5 E,2020
1C4RJYB62P,244130344,JEEP,GRAND CHEROKEE,2023
WA1E2AFY1R,276508928,AUDI,Q5 E,2024
5UXTS1C02M,275215524,BMW,X3,2021
1C4JJXR60M,271560663,JEEP,WRANGLER,2021
1C4JJXP64N,216855761,JEEP,WRANGLER,2022
JTDKARFP3L,267177683,TOYOTA,PRIUS PRIME (PHEV),2020
JTDKAMFP5M,249776663,TOYOTA,PRIUS PRIME (PHEV),2021
1FADP5CUXF,132052924,FORD,C-MAX,2015
1C4RJYB63R,272167920,JEEP,GRAND CHEROKEE,2024
WP1AE2A27G,253115908,PORSCHE,CAYENNE,2016
JTDKARFP3L,272495870,TOYOTA,PRIUS PRIME (PHEV),2020
JTDKARFP6H,259027184,TOYOTA,PRIUS PRIME (PHEV),2017
3FA6P0SU4D,140321877,FORD,FUSION,2013
JTDKN3DP3D,317692693,TOYOTA,PRIUS,2013
1C4RJYB62R,272204740,JEEP,GRAND CHEROKEE,2024
1FADP5EU6H,162945772,FORD,C-MAX,2017
3FA6P0SU7F,205837208,FORD,FUSION,2015
WA1F2AFY1L,104504480,AUDI,Q5 E,2020
3FA6P0PU9D,135803433,FORD,FUSION,2013
YV4BR0CZ2N,237802953,VOLVO,XC90,2022
3MW39FS02P,244137120,BMW,330E,2023
1FADP5CU8D,137715329,FORD,C-MAX,2013
3FA6P0SU0E,122192402,FORD,FUSION,2014
5LMYJ8XY0L,269854875,LINCOLN,AVIATOR,2020
WBA33AG0XM,171239771,BMW,530E,2021
1C4JJXN64P,238480077,JEEP,WRANGLER,2023
WP1AE2AY9K,233909490,PORSCHE,CAYENNE,2019
YV4BR0DK5M,167209234,VOLVO,XC60,2021
JTDKN3DP0C,221550010,TOYOTA,PRIUS,2012
WA1E2AFY1M,227503909,AUDI,Q5 E,2021
JTDKARFP8H,478437018,TOYOTA,PRIUS PRIME (PHEV),2017
WBAJA9C55K,279176502,BMW,530E,2019
3MW5P9J00M,175488981,BMW,330E,2021
WP1AE2AY6L,279955735,PORSCHE,CAYENNE,2020
WA1E2AFY1P,253416278,AUDI,Q5 E,2023
1C4JJXP61M,156830131,JEEP,WRANGLER,2021
5UXTS1C08M,151174992,BMW,X3,2021
1FADP5CU8D,120162836,FORD,C-MAX,2013
JTDKN3DP2D,211048701,TOYOTA,PRIUS,2013
JTDKAMFP6N,179990968,TOYOTA,PRIUS PRIME (PHEV),2022
JTDKARFPXH,212875085,TOYOTA,PRIUS PRIME (PHEV),2017
1C4JJXP60M,161293149,JEEP,WRANGLER,2021
JTDKN3DP3D,245352432,TOYOTA,PRIUS,2013
JTDKAMFP1N,257376122,TOYOTA,PRIUS PRIME (PHEV),2022
KNDCC3LD7K,148289158,KIA,NIRO,2019
WA1E2AFYXR,260298944,AUDI,Q5 E,2024
1C4RJXR68R,276712278,JEEP,WRANGLER,2024
1C4RJYB6XR,264693985,JEEP,GRAND CHEROKEE,2024
JM3KKDHA4R,266933313,MAZDA,CX-90,2024
JTDKN3DP7C,240037038,TOYOTA,PRIUS,2012
3FA6P0SU0G,193113574,FORD,FUSION,2016
WAUTPBFF8H,249729910,AUDI,A3,2017
W1NKM8AB0S,275628825,MERCEDES-BENZ,GLC-CLASS,2025
3FA6P0SU1D,126909541,FORD,FUSION,2013
1C4JJXP69N,207961792,JEEP,WRANGLER,2022
5LMYJ9YY7M,147864125,LINCOLN,AVIATOR,2021
JTDKAMFP6M,280621127,TOYOTA,PRIUS PRIME (PHEV),2021
JA4J24A56J,475374749,MITSUBISHI,OUTLANDER,2018
1C4RJYB68P,271933119,JEEP,GRAND CHEROKEE,2023
WBA8E1C5XJ,273482296,BMW,330E,2018
WP1BE2AY8S,274122320,PORSCHE,CAYENNE,2025
1FADP5EU5H,150288015,FORD,C-MAX,2017
1C4JJXP64N,282266218,JEEP,WRANGLER,2022
5LMYJ8XY9M,161233173,LINCOLN,AVIATOR,2021
3MW39FS04P,255509243,BMW,330E,2023
WAUSPBFF6G,475572016,AUDI,A3,2016
KNDCD3LD6M,171014672,KIA,NIRO,2021
YV4BR0DK4M,262949298,VOLVO,XC60,2021
JTDKN3DP2D,236604973,TOYOTA,PRIUS,2013
JTDKARFP1J,8546156,TOYOTA,PRIUS PRIME (PHEV),2018
WP1AE2A25G,187199456,PORSCHE,CAYENNE,2016
JTDKARFP6H,439384641,TOYOTA,PRIUS PRIME (PHEV),2017
1C4RJYC62N,228630265,JEEP,GRAND CHEROKEE,2022
1C4RJXP64R,261204695,JEEP,WRANGLER,2024
JTDKARFP9L,4938524,TOYOTA,PRIUS PRIME (PHEV),2020
WA1E2AFY2L,9938274,AUDI,Q5 E,2020
JTDKAMFP1M,207218490,TOYOTA,PRIUS PRIME (PHEV),2021
5UXKT0C32H,9817860,BMW,X5,2017
WA1E2AFYXR,267032426,AUDI,Q5 E,2024
WA1F2AFY6M,140196780,AUDI,Q5 E,2021
5UXKT0C53G,177787011,BMW,X5,2016
JM3KKBHA2R,258258311,MAZDA,CX-90,2024
1FADP5CU6D,476301437,FORD,C-MAX,2013
JM3KKCHA1S,278783900,MAZDA,CX-90,2025
1C4RJXN68S,281670700,JEEP,WRANGLER,2025
JTDKARFP4K,258920364,TOYOTA,PRIUS PRIME (PHEV),2019
JM3KKEHA5S,272657325,MAZDA,CX-90,2025
KNDCD3LD3N,192457086,KIA,NIRO,2022
YV4BR00K0L,146838730,VOLVO,XC90,2020
WP1AE2AY0S,276073472,PORSCHE,CAYENNE,2025
5UXTS1C09M,168538863,BMW,X3,2021
5UXKT0C54H,102371979,BMW,X5,2017
YV4BC0PL3G,255784112,VOLVO,XC90,2016
JTDKN3DP7C,128036758,TOYOTA,PRIUS,2012
WA1E2AFY3M,258368764,AUDI,Q5 E,2021
WA1F2AFY7M,153695930,AUDI,Q5 E,2021
1C4RJYE67N,223885098,JEEP,GRAND CHEROKEE,2022
WP0AE2A7XL,115258587,PORSCHE,PANAMERA,2020
1C4JJXN6XP,230933482,JEEP,WRANGLER,2023
3FA6P0SU0H,161309564,FORD,FUSION,2017
WA1E2AFY9N,182317145,AUDI,Q5,2022
YV4BR0DL3J,257643298,VOLVO,XC60,2018
1C4RJXR67R,275584389,JEEP,WRANGLER,2024
1C4JJXP67N,211474231,JEEP,WRANGLER,2022
1FADP5CU3E,106155038,FORD,C-MAX,2014
WBAJB1C54J,348870952,BMW,530E,2018
1C4RJXP63R,277844759,JEEP,WRANGLER,2024
1C4JJXR6XP,235955884,JEEP,WRANGLER,2023
3FA6P0PU6G,132929562,FORD,FUSION,2016
WAUUPBFF6J,156611822,AUDI,A3,2018
JTDKARFP7J,280908603,TOYOTA,PRIUS PRIME (PHEV),2018
YV4BR0CM2M,260204010,VOLVO,XC90,2021
JTDKN3DP6E,172170414,TOYOTA,PRIUS,2014
YV4BR00L0M,166737420,VOLVO,XC90,2021
1C4RJXP69R,265919321,JEEP,WRANGLER,2024
1FADP5CUXF,258064894,FORD,C-MAX,2015
WBA33AG05N,207542121,BMW,530E,2022
1C4RJYB60R,278524858,JEEP,GRAND CHEROKEE,2024
WAUUPBFF4J,318160860,AUDI,A3,2018
1C4RJXP60R,268224456,JEEP,WRANGLER,2024
JTDKN3DP9D,118569433,TOYOTA,PRIUS,2013
1C4JJXR60N,197461442,JEEP,WRANGLER,2022
JTDKARFP1L,102345169,TOYOTA,PRIUS PRIME (PHEV),2020
JM3KKEHA7R,254744682,MAZDA,CX-90,2024
1C4JJXP67P,244529617,JEEP,WRANGLER,2023
WP1AE2AY9K,233118868,PORSCHE,CAYENNE,2019
WAUSPBFF7G,113712406,AUDI,A3,2016
WA1E2AFY0L,128498163,AUDI,Q5 E,2020
JTDKAMFP3M,267776701,TOYOTA,PRIUS PRIME (PHEV),2021
1C4JJXR64M,192512435,JEEP,WRANGLER,2021
WA1F2AFY0L,9819988,AUDI,Q5 E,2020
JTDKARFP6H,160707200,TOYOTA,PRIUS PRIME (PHEV),2017
JM3KJDHA9S,275031354,MAZDA,CX-70,2025
1FADP5CUXF,270873844,FORD,C-MAX,2015
JM3KKEHA3S,272252200,MAZDA,CX-90,2025
WBA8E1C55J,292913484,BMW,330E,2018
1FADP5EU4H,190250609,FORD,C-MAX,2017
JTDKARFP2K,136755615,TOYOTA,PRIUS PRIME (PHEV),2019
WA1G2AFY7R,276917364,AUDI,Q5 E,2024
WP1AE2AY2K,280320932,PORSCHE,CAYENNE,2019
5LMYJ9YY3N,217910521,LINCOLN,AVIATOR,2022
WA1E2AFY8R,263204119,AUDI,Q5 E,2024
WBA7W4C07L,255369957,BMW,745E,2020
JTDKN3DP2C,142307721,TOYOTA,PRIUS,2012
YV4BR0DL4K,106083155,VOLVO,XC60,2019
YV4BR0PL6J,211708591,VOLVO,XC90,2018
YV4BR0CL5L,128679883,VOLVO,XC90,2020
1C4RJYB69P,254201853,JEEP,GRAND CHEROKEE,2023
JTDKAMFP9M,262162673,TOYOTA,PRIUS PRIME (PHEV),2021
1C4RJXN60R,276250327,JEEP,WRANGLER,2024
3FA6P0PU6H,348224936,FORD,FUSION,2017
WAUUPBFF9G,213526050,AUDI,A3,2016
1FADP5CU0F,223023405,FORD,C-MAX,2015
YV4BR0DL9L,4881971,VOLVO,XC60,2020
WAUTPBFF1G,279605980,AUDI,A3,2016
JM3KKEHA8R,251740037,MAZDA,CX-90,2024
JTDKN3DP9D,211956958,TOYOTA,PRIUS,2013
JM3KKBHA1R,274893594,MAZDA,CX-90,2024
1C4RJXU66R,268717977,JEEP,WRANGLER,2024
3MW39FF00P,270132040,BMW,330E,2023
JTDKN3DP9F,273733176,TOYOTA,PRIUS,2015
3FA6P0SU1G,278800798,FORD,FUSION,2016
JA4J24A58L,278462264,MITSUBISHI,OUTLANDER,2020
1C4JJXP64M,166479925,JEEP,WRANGLER,2021
1C4RJYB61N,226138489,JEEP,GRAND CHEROKEE,2022
1C4RJXR69R,274976831,JEEP,WRANGLER,2024
