listing_id,price,nbhood_full,description,room_type,host_name,last_review
12299,120.0,"Brooklyn, South Slope",Beautiful Sunny Park Slope Brooklyn,entire_home/apt,Abdul,2019-05-27
12318,135.0,"Manhattan, Upper West Side",West Side Retreat,private_room,Cyn,2019-06-16
12343,150.0,"Manhattan, Harlem",BEST BET IN HARLEM,entire_home/apt,Earl,2019-06-13
12627,150.0,"Brooklyn, Prospect-Lefferts Gardens",Entire apartment in central Brooklyn neighborhood.,entire_home/apt,Rana,2019-06-05
12937,130.0,"Queens, Long Island City","1 Stop fr. Manhattan! Private Suite,Landmark Block",private_room,Orestes,2019-07-01
12940,110.0,"Brooklyn, Bedford-Stuyvesant",Charming Brownstone 3 - Near PRATT,entire_home/apt,Adreinne,2019-05-25
13394,80.0,"Brooklyn, Fort Greene",Fort Greene brownstone,private_room,Alexander,2019-06-17
13808,80.0,"Brooklyn, Bedford-Stuyvesant",Blue Room for 2 in Brownstone for $1350 monthly,private_room,Jt And Tiziana,2019-06-16
14287,151.0,"Manhattan, Upper West Side",Cozy 1BD on Central Park West in New York City,entire_home/apt,Joya,2019-07-07
14290,228.0,"Brooklyn, Williamsburg",* ORIGINAL BROOKLYN LOFT *,entire_home/apt,James,2019-05-17
14314,144.0,"Brooklyn, Greenpoint",Greenpoint Place...Has It All!,entire_home/apt,Jeanne,2019-06-29
14322,200.0,"Manhattan, Kips Bay",Beautiful Apartment in Manhattan!!!,entire_home/apt,Francesca,2019-03-25
14377,150.0,"Brooklyn, Williamsburg",Williamsburg 1 bedroom Apartment,entire_home/apt,Joanna,2019-06-22
14991,110.0,"Manhattan, Lower East Side","Great Location, Manhattan Bedroom!",private_room,Bianca,2019-05-18
15220,69.0,"Manhattan, Hell's Kitchen",Best Location in NYC! TIMES SQUARE!,private_room,Luiz,2019-06-09
15338,49.0,"Brooklyn, Greenpoint",Room in Greenpoint Loft w/ Roof,private_room,Andrea,2019-06-04
15341,180.0,"Manhattan, SoHo",**Bright Nolita Apt w Doorman/Elevators/Gym**,entire_home/apt,Ted,2019-06-29
15385,80.0,"Brooklyn, Williamsburg","Very, very cozy place",private_room,Cristina,2019-06-30
15711,250.0,"Manhattan, Upper East Side",2 bedroom - Upper East Side-great for kids,entire_home/apt,D,2019-03-30
16326,200.0,"Brooklyn, Prospect Heights",Comfortable 4-bedroom apt in family house.,entire_home/apt,Dimitri,2019-01-26
16421,52.0,"Manhattan, Hell's Kitchen",Your Heaven in Hells Kitchen,private_room,Mark,2019-05-16
16580,80.0,"Manhattan, East Village","Sunny, Modern room in East Village!",private_room,Reka,2019-07-01
16595,275.0,"Brooklyn, Williamsburg",*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire_home/apt,Daniel,2019-06-23
16821,99.0,"Manhattan, East Village",Large Room in Amazing East Village Apt,private_room,Casey,2019-06-21
16974,225.0,"Manhattan, East Harlem",SpaHa Loft: Enormous and Bright,entire_home/apt,Robin,2019-06-23
17092,51.0,"Manhattan, Hell's Kitchen",Cool Room in Hell's Kitchen,private_room,Enzo,2019-06-01
17693,65.0,"Manhattan, Washington Heights","HARLEM, NEW YORK WELCOMES YOU!!",private_room,Tye And Etienne,2019-06-18
17747,105.0,"Brooklyn, Clinton Hill",BLUE TRIM GUEST HOUSE,private_room,George,2019-06-26
18127,190.0,"Manhattan, East Village",Charming East Village One Bedroom Flat,entire_home/apt,Josh,2019-01-02
18152,200.0,"Manhattan, Upper East Side",Manhattan Room,private_room,Victoria,2019-07-09
18198,70.0,"Queens, Woodside",Little King of Queens,private_room,Justin,2019-05-31
18590,95.0,"Brooklyn, Fort Greene",Fort Greene Retreat on the Park,private_room,Blaise,2019-06-16
18728,150.0,"Manhattan, Chelsea",Beautiful Meatpacking District Loft,private_room,David And Rick,2019-05-28
18764,145.0,"Brooklyn, Williamsburg",Cozy 2 BR in Williamsburg,private_room,Lulú,2019-04-22
19159,110.0,"Manhattan, Harlem",Spacious luminous apt Upper West NYC,entire_home/apt,Sybilla,2019-03-23
19169,285.0,"Manhattan, Lower East Side",Entire 2 Bedroom - Large & Sunny,entire_home/apt,Jolynn,2019-06-30
19282,130.0,"Brooklyn, Flatbush","Sunny, Spacious Top Floor Haven",entire_home/apt,Gaia,2019-06-15
19319,94.0,"Manhattan, Lower East Side",Private room Great Deal at Lower East Side,private_room,Ana,2019-04-08
20299,60.0,"Manhattan, East Village",Oh glorious spring!,private_room,Edward,2019-06-30
20611,85.0,"Brooklyn, Williamsburg",Cozy Bedroom in Williamsburg 3 BR,private_room,Lulú,2019-06-22
20724,65.0,"Brooklyn, Bushwick",Sunny room+Pvte office in huge loft,private_room,Augustin,2019-05-26
20734,131.0,"Brooklyn, Prospect Heights",Spacious Prospect Heights Apartment,entire_home/apt,Sean & Lynette,2019-06-27
20755,98.0,"Brooklyn, Clinton Hill","Large Parlor Room, Landmark Home 1 block to PRATT",private_room,Erica,2019-05-31
20853,250.0,"Brooklyn, Prospect Heights",2-bed brownstone duplex + garden,entire_home/apt,Tracy,2019-05-21
21293,105.0,"Brooklyn, Bushwick",Sunny Apartment in Artist Home,entire_home/apt,Tyrome,2019-06-18
21456,140.0,"Manhattan, Upper West Side",Light-filled classic Central Park,entire_home/apt,Dana,2019-07-07
21794,98.0,"Manhattan, Chelsea",COZY QUIET room 4 DOOGLERS!,private_room,Olan,2019-05-01
22918,60.0,"Manhattan, Harlem",loft bed - near transportation-15min to times sq,private_room,Ssameer Or Trip,2019-01-03
23135,175.0,"Brooklyn, Carroll Gardens",House On Henry (3rd FLR Suite),entire_home/apt,Annette,2019-06-24
23686,500.0,"Manhattan, West Village",2000 SF 3br 2bath West Village private  townhouse,entire_home/apt,Ann,2019-05-18
24143,101.0,"Brooklyn, Williamsburg","Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private_room,Seth,2019-05-29
25235,125.0,"Brooklyn, Bedford-Stuyvesant",Large 2 Bedroom Great for Groups!,entire_home/apt,Shelly,2019-06-28
25696,100.0,"Manhattan, Harlem","1,800 sq foot in luxury building",private_room,Dena,2019-06-23
26362,59.0,"Manhattan, Hell's Kitchen","Times Square, Safe, Clean and Cozy!",private_room,Luiz,2019-06-16
26520,125.0,"Brooklyn, Clinton Hill","Cozy Room #3, Landmark Home 1 Block to PRATT",private_room,Erica,2019-06-02
26969,325.0,"Brooklyn, Williamsburg",2 story family home in Williamsburg,entire_home/apt,Alexandra,2019-06-23
27006,235.0,"Manhattan, Upper West Side",Comfortable UWS 2-BD Family-Friendly Brownstone,entire_home/apt,Stacy,2019-04-27
27385,225.0,"Manhattan, East Village",Great Large 1 BR apt  in East Village!,entire_home/apt,Bruce,2019-06-07
27531,99.0,"Brooklyn, South Slope",Eveland Private Bed & Living Room w/ Own Entrance,private_room,Evelyn,2019-05-20
27644,170.0,"Manhattan, Harlem",Sugar Hill Rest Stop,entire_home/apt,Emma,2019-07-01
27759,170.0,"Manhattan, Upper West Side",apartment next to Central park,entire_home/apt,Sylvie,2019-06-26
29013,70.0,"Brooklyn, Bedford-Stuyvesant",B & B Room 1,private_room,Angela,2019-05-14
29455,120.0,"Manhattan, Harlem",ACCOMMODATIONS GALORE #1,entire_home/apt,Laurine,2019-06-20
29628,89.0,"Brooklyn, Clinton Hill",Sunny Room in New Condo,private_room,Chris,2019-07-03
29683,185.0,"Manhattan, East Village",Stylish & Sleek Apartment Near SoHo!,entire_home/apt,Uli,2019-06-25
30031,50.0,"Brooklyn, Greenpoint",NYC artists‚Äô loft with roof deck,private_room,Sol,2019-05-20
30927,105.0,"Manhattan, Lower East Side",Unique & Charming small 1br Apt. LES,entire_home/apt,Cs,2019-06-14
31130,130.0,"Manhattan, Hell's Kitchen",Most Central Location!,private_room,Lara,2019-05-26
31555,115.0,"Manhattan, West Village",Luminous Beautiful West Village Studio,entire_home/apt,Tom,2019-07-01
31902,77.0,"Brooklyn, Flatlands",Sanctuary in East Flatbush,private_room,Sunder,2019-01-01
31994,76.0,"Brooklyn, Clinton Hill",Room with En Suite Bathroom & Deck,private_room,Waldemar,2019-06-24
32023,125.0,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH,entire_home/apt,Khem,2019-06-23
32037,135.0,"Brooklyn, Clinton Hill",Huge Private  Floor at The Waverly,private_room,Sahr,2019-07-01
32965,115.0,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH GARDEN,entire_home/apt,Khem,2019-06-20
32969,160.0,"Brooklyn, Williamsburg",Light filled Williamsburg Apartment,entire_home/apt,Katherine,2019-07-02
33009,195.0,"Brooklyn, Williamsburg",Retreat in Williamsburg,entire_home/apt,Ming,2019-06-17
33014,195.0,"Manhattan, East Village",NYC Zen,entire_home/apt,Paula,2019-06-17
33223,80.0,"Brooklyn, Williamsburg",Cozy BR in Wiliamsburg 3 Bedroom,private_room,Lulú,2019-06-22
34760,44.0,"Brooklyn, Fort Greene",Sunny Room in Old Historical Brooklyn Townhouse,private_room,Obed,2019-06-29
35526,156.0,"Manhattan, West Village",Sun Filled Classic West Village Apt,private_room,Karen,2019-06-22
36133,125.0,"Brooklyn, Williamsburg",Classic Artist Loft Williamsburg,private_room,White,2019-06-13
36703,225.0,"Manhattan, West Village","Sunny, clean 1 bdrm in W. Village",entire_home/apt,Karene,2019-03-31
38638,219.0,"Manhattan, Upper East Side",Light and Airy Upper East Side 1 BDR apartment,entire_home/apt,Sara,2019-06-26
39267,99.0,"Manhattan, Upper East Side",CENTRAL PARK LOFT all for YOU,entire_home/apt,Marie,2019-06-08
39282,69.0,"Brooklyn, Williamsburg",Indie-Chic Share In Williamsburg,private_room,Gus,2019-05-28
39593,79.0,"Queens, Sunnyside","A room w/ a Manhattan view, longer stay",private_room,Myung,2019-04-12
39704,135.0,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny 1BR w/W&D",entire_home/apt,Renée,2019-06-22
41348,250.0,"Brooklyn, Gowanus",* Spacious GARDEN Park Slope Duplex* 6 people max,entire_home/apt,Syl,2019-07-06
42580,70.0,"Brooklyn, Clinton Hill",Parlor Room In Victorian Townhouse,private_room,Waldemar,2019-06-24
42729,165.0,"Brooklyn, Carroll Gardens",House On Henry (2nd FLR Suite),entire_home/apt,Annette,2019-06-18
42882,70.0,"Staten Island, St. George",New York room with a view,private_room,Newyorkroomwithaview,2019-06-13
43957,50.0,"Brooklyn, Bushwick",Sunny cozy room in Brklyn townhouse,private_room,Tessa,2019-06-19
44096,40.0,"Bronx, Highbridge",Room with a View,private_room,Waundell,2019-07-04
44212,125.0,"Manhattan, East Village",West Inn 2 - East Village,private_room,Bruce,2019-06-23
44221,196.0,"Manhattan, Financial District",Financial District Luxury Loft,entire_home/apt,Coral,2019-06-20
44229,110.0,"Brooklyn, Fort Greene",BROOKLYN VICTORIAN STYLE SUITE.....,private_room,Carol,2019-06-24
44288,170.0,"Manhattan, West Village",Your own Lovely West Village Studio,entire_home/apt,Sara,2019-06-01
44506,165.0,"Manhattan, Harlem",ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire_home/apt,Laurine,2019-05-26
45556,65.0,"Brooklyn, Fort Greene","Fort Greene, Brooklyn: Center Bedroom",private_room,Doug,2019-06-30
45910,350.0,"Queens, Ridgewood",Beautiful Queens Brownstone! - 5BR,entire_home/apt,Mark,2019-05-12
45936,99.0,"Manhattan, Morningside Heights",Couldn't Be Closer To Columbia Uni,private_room,Rahul,2019-05-14
45940,200.0,"Brooklyn, Williamsburg",Bright Spacious Luxury Condo,entire_home/apt,Miyoung,2019-04-08
46544,150.0,"Brooklyn, Park Slope",Park Slope haven 15 mins from Soho,entire_home/apt,Monica,2019-06-05
46723,90.0,"Brooklyn, Bedford-Stuyvesant",SAFE  AND BEAUTIFUL ACCOMODATION,private_room,Marylyn,2019-05-19
46911,120.0,"Brooklyn, Prospect Heights",Large Room in private Brownstone in Park Slope,private_room,Kathleen R.,2019-06-24
47199,75.0,"Manhattan, Upper East Side","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private_room,Teresa,2019-06-24
47926,275.0,"Manhattan, Hell's Kitchen",LUX APT IN TIMES SQUARE NEW BUILDING,entire_home/apt,Claudia,2019-06-26
48719,299.0,"Manhattan, Lower East Side",Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire_home/apt,Shane,2019-06-15
50447,135.0,"Brooklyn, South Slope",Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire_home/apt,Laurie,2019-06-22
51485,83.0,"Manhattan, Lower East Side",Lower East Side $57~/night,private_room,Erina,2019-06-22
51572,123.0,"Manhattan, Chelsea",Prime Location in Manhattan,private_room,Lee,2019-06-18
51850,55.0,"Queens, Jamaica",( F) Excellent/Pvt Rm,private_room,Jullett,2019-05-20
53137,195.0,"Manhattan, Hell's Kitchen","Quiet, sunny Midtown Manhattan apt.",entire_home/apt,Marlaine,2019-07-01
53477,265.0,"Queens, Middle Village",3 floors of luxury!,entire_home/apt,Mark,2019-04-27
54158,249.0,"Brooklyn, Williamsburg",The Institute‚ÄîHeart of Williamsburg,entire_home/apt,Bob,2019-06-20
54508,100.0,"Brooklyn, Prospect Heights",Sml Rm in pr Brst  Park Sl great for Med/students,private_room,Kathleen R.,2019-06-06
54544,121.0,"Manhattan, Harlem",City Room - Private Penthouse Apt.,entire_home/apt,Wayne,2019-06-22
54626,45.0,"Bronx, Highbridge",Cozy bedroom by Yankee Stadium,private_room,Waundell,2019-06-30
54860,100.0,"Manhattan, East Harlem",Great apartment with private bathroom and entrance,private_room,Jenny,2019-06-23
55467,140.0,"Brooklyn, Williamsburg",Private Garden Apt ‚Ä¢ New Renovation,entire_home/apt,Paul,2019-07-02
55498,71.0,"Brooklyn, Bedford-Stuyvesant",Modern comfort in art infused landmark Brownstone,private_room,Tami,2019-07-01
55737,199.0,"Manhattan, West Village",Sleek & Comfortable Soho Apt,entire_home/apt,Pete,2019-05-19
55959,69.0,"Brooklyn, Williamsburg",Spacious Williamsburg Share w/ LOFT BED,private_room,Gus,2019-06-10
56467,130.0,"Manhattan, East Village",Cozy East Village Railroad 1 Bed!,entire_home/apt,Leonardo,2019-07-01
56525,195.0,"Brooklyn, Greenpoint",1 Bedroom Loft w/ Private Roof Deck,entire_home/apt,Alex,2019-06-13
56859,64.0,"Manhattan, Harlem",City Room - Private & Comfy Bedroom,private_room,Wayne,2019-06-03
57166,140.0,"Queens, Ditmars Steinway",Elegant NYC Pad,entire_home/apt,Vasili,2019-06-17
57297,159.0,"Brooklyn, Cobble Hill","Clean & bright 1BR in Cobble Hill, GREAT location!",entire_home/apt,S.M.,2019-06-24
57468,189.0,"Manhattan, East Village","Modern, Large East Village Loft",entire_home/apt,Ori,2019-06-23
57618,250.0,"Manhattan, Hell's Kitchen","Great new apt, close to everything",entire_home/apt,Ana,2019-06-09
57740,239.0,"Manhattan, East Village",Quiet & Clean Retreat in the City,entire_home/apt,I,2019-05-24
57754,305.0,"Manhattan, Flatiron District",Stylish Large Gramercy Loft!,entire_home/apt,R,2019-06-30
57874,155.0,"Manhattan, Harlem",The Brownstone-Luxury 1 Bd Apt/NYC,entire_home/apt,Simon,2019-06-26
58059,60.0,"Manhattan, Harlem",PRIVATE Room on Historic Sugar Hill,private_room,Agnes,2019-07-03
58062,135.0,"Brooklyn, Windsor Terrace",South Slope Green,private_room,Linda,2019-05-17
58467,120.0,"Manhattan, Roosevelt Island","17 Flr. Manhattan Views, Nr. Subway",private_room,Dave,2019-05-08
59014,150.0,"Manhattan, Lower East Side","Spacious 1BR, Adorable Clean Quiet",entire_home/apt,Drica,2019-01-02
59642,135.0,"Brooklyn, Greenpoint",Franklin St Flat in Trendy Greenpoint Brooklyn,entire_home/apt,Betty,2019-05-19
59709,250.0,"Manhattan, Chinatown","Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire_home/apt,Ricardo & Ashlie,2019-07-01
60164,500.0,"Manhattan, SoHo","Beautiful, elegant 3 bed SOHO loft",entire_home/apt,Harrison,2019-06-23
60457,225.0,"Manhattan, Greenwich Village",Spacious Greenwich Village Apt,entire_home/apt,Jessica,2019-05-11
60666,92.0,"Manhattan, Harlem",City Room - Private Luxury Suite,private_room,Wayne,2019-06-11
60680,99.0,"Manhattan, East Village",The gem of the East Village,entire_home/apt,Mich,2019-06-20
60948,140.0,"Manhattan, East Harlem",ACCOMMODATIONS GALORE #2,entire_home/apt,Laurine,2019-06-20
61406,80.0,"Manhattan, Harlem",Great room in great location,private_room,Bethania,2019-06-01
61492,120.0,"Manhattan, Chinatown",Exclusive Room with Private Bath in  LES,private_room,Tunji,2019-06-23
61509,110.0,"Manhattan, Midtown","Quiet, clean midtown apt w. elevato",entire_home/apt,Anna/Fonzy,2019-04-30
62095,65.0,"Brooklyn, East Flatbush",BK Sweet Suite w/Kitchen&FullBath,entire_home/apt,Colette&Sean,2019-06-14
62427,130.0,"Manhattan, East Village",Great East Village Apartment Rental,entire_home/apt,Brie,2019-05-26
62430,99.0,"Brooklyn, Bushwick",BROWNSTONE SUNDRENCHED BEAUTY,entire_home/apt,Sheila,2019-06-22
62452,36.0,"Staten Island, Tompkinsville",A SpeciaL!! Private Room in NY,private_room,Lissette,2019-06-25
62461,37.0,"Staten Island, Tompkinsville",B NYC Staten Alternative...,private_room,Lissette,2019-06-10
62787,37.0,"Staten Island, Tompkinsville",C Private Room By The Ferry,private_room,Lissette,2019-07-02
62891,175.0,"Manhattan, East Village",Smallest House In The Village,entire_home/apt,Olivia,2019-05-24
62903,205.0,"Manhattan, Chelsea",Beautiful modern studio apartment in heart of NYC,entire_home/apt,Daniel,2019-06-21
62925,285.0,"Brooklyn, Greenpoint",Beautiful Landmarked Duplex,entire_home/apt,Maya,2019-06-16
63299,59.0,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private_room,Scott,2019-06-23
63320,36.0,"Staten Island, Tompkinsville",D Private Che@p Room 2 Explore NYC,private_room,Lissette,2019-07-02
63360,99.0,"Queens, Astoria",Safe cute near subway& Manhattan NY NY retro style,entire_home/apt,Dennis & Naoko,2019-06-24
63546,39.0,"Brooklyn, Kensington",Large and Cozy Private Bedroom,private_room,Antonín,2019-05-16
63610,105.0,"Bronx, Eastchester",DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire_home/apt,Vie,2019-06-27
63657,135.0,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny Top Floor Apt  w/W&D",entire_home/apt,Renée,2019-06-25
63693,390.0,"Manhattan, East Village",Cottage in the Village,entire_home/apt,Olivia,2019-06-19
64000,60.0,"Brooklyn, Williamsburg",Williamsburg near soho. / loftbed,private_room,Kristian & Di,2019-01-07
64107,100.0,"Brooklyn, Crown Heights",BROOKLYN  STUDIO APARTMENT,private_room,Niya,2019-06-24
64277,70.0,"Brooklyn, Bedford-Stuyvesant",BEDROOM2 FOR RENT  10min from Manh,private_room,Helene,2019-01-02
64314,110.0,"Brooklyn, Crown Heights",cozy bedroom in lovely garden apt,private_room,Debbie,2019-05-26
64365,60.0,"Brooklyn, Crown Heights",Crown Heights Garden Apt.,private_room,Anthony,2019-06-27
64707,90.0,"Manhattan, Little Italy",Amazing  Sunny & Breezy Home In the Heart of  NYC,entire_home/apt,Tilly,2019-01-02
64837,68.0,"Manhattan, East Village",ENJOY Downtown NYC!!,private_room,Edward,2019-06-23
65019,115.0,"Manhattan, Upper West Side",Charming UWS Treehouse Apt,entire_home/apt,Claire,2019-07-06
65268,75.0,"Brooklyn, Bedford-Stuyvesant",Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private_room,Juhli,2019-01-05
65562,129.0,"Manhattan, East Village",CHARMING EAST VILLAGE 2 (or 1) BR,entire_home/apt,Mary D,2019-01-03
65615,130.0,"Brooklyn, Williamsburg",Farmhouse Apartment in Williamsburg,entire_home/apt,Valerie,2019-06-29
65660,95.0,"Brooklyn, Williamsburg",Bright+Spacious Williamsburg Abode!,entire_home/apt,Larissa,2019-07-07
65813,75.0,"Manhattan, Harlem","Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private_room,Eric,2019-01-02
66008,190.0,"Brooklyn, Carroll Gardens",CHARMING CARROLL GARDENS APT.,entire_home/apt,Melissa,2019-07-01
66026,49.0,"Brooklyn, Crown Heights",Private Bedroom Brownstone Brooklyn,private_room,Alex,2019-06-30
66251,212.0,"Manhattan, East Village",East Village Loft with Piano & Patio,entire_home/apt,Samir,2019-06-25
66275,95.0,"Manhattan, Lower East Side",Lower East Side Magic Room,private_room,Tony,2019-06-23
66451,140.0,"Brooklyn, Williamsburg",**Fantastic Williamsburg Apt**,entire_home/apt,Luis Fernando,2019-02-16
66718,135.0,"Manhattan, Harlem",West Harlem Home Base - Eco-Apt.,entire_home/apt,Henning,2019-06-23
66741,150.0,"Brooklyn, Park Slope",Charming Garden Apt in Park Slope,entire_home/apt,Stefano,2019-06-23
66974,190.0,"Brooklyn, Gowanus","Lovely, Modern, Garden Apartment",entire_home/apt,Jana,2019-07-01
67288,124.0,"Manhattan, East Harlem",Central Park 1BR sunny condo,entire_home/apt,Per,2019-06-15
67299,135.0,"Brooklyn, Williamsburg",Cozy Garden Apartment  in Williamsburg,entire_home/apt,Adrienne,2019-05-06
67397,122.0,"Manhattan, Morningside Heights",SoHa comfort-by NW Central Park!,private_room,Elise,2019-06-22
68099,109.0,"Manhattan, Upper West Side",Cozy room in Upper West Side,private_room,Deda,2019-06-25
68403,145.0,"Brooklyn, Bedford-Stuyvesant",The Cozy Brownstone Inn (discount)!,entire_home/apt,Naimah,2019-06-24
68735,195.0,"Manhattan, Upper West Side",Prewar Penthouse w Private Terrace,entire_home/apt,Violetta,2019-06-13
68765,250.0,"Brooklyn, Carroll Gardens",Designer 2.5 BR Loft in Carroll Gardens by Subway,entire_home/apt,Jenna,2019-06-27
68974,575.0,"Manhattan, Little Italy",Unique spacious loft on the Bowery,entire_home/apt,Alicia,2019-06-20
69894,150.0,"Manhattan, Upper West Side","Nice renovated apt, prime location!",entire_home/apt,Silvia,2019-06-11
69921,70.0,"Brooklyn, Bushwick",Brooklyn Writer's Nook,private_room,Joab,2019-06-29
70095,90.0,"Manhattan, Inwood",Private Bedroom in Large NYC Apartment,private_room,Mary And Geoff,2019-06-30
70128,65.0,"Manhattan, East Village","Large, Sunny Room East Village NYC",private_room,Eyal,2019-01-10
70609,500.0,"Manhattan, East Village",Great Large 3 BR/2 Bath Duplex with Private Patio!,entire_home/apt,Bruce,2019-06-16
71010,250.0,"Manhattan, Washington Heights",All That Jazz. Uptown style on Sugar Hill.,entire_home/apt,Kurt,2019-05-24
71248,125.0,"Manhattan, Chinatown",Bright and lovely 1 bdrm apt in LES,entire_home/apt,Jennifer,2019-06-17
71366,200.0,"Manhattan, West Village",Beautiful One Bed West Village - 4 Month Special,entire_home/apt,Ruperto,2019-06-25
71812,90.0,"Bronx, Kingsbridge",Condo Apartment with laundry in unit,entire_home/apt,Thai,2019-01-02
72190,110.0,"Manhattan, Upper West Side",1BR: See Central Park from Terrace!,entire_home/apt,Hudson,2019-02-15
72265,59.0,"Brooklyn, Greenpoint",Private room in cozy Greenpoint,private_room,Vanessa,2019-06-16
74073,195.0,"Brooklyn, Williamsburg",Food & Music Dream Apartment in Williamsburg,entire_home/apt,Daniel,2019-06-23
74240,169.0,"Brooklyn, Williamsburg",French Garden cottage off Bedford,entire_home/apt,Patty,2019-06-07
74680,115.0,"Queens, Astoria",One Bedroom Mini studio - Free WIFI,entire_home/apt,Nazleen,2019-05-31
75193,69.0,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ King Bed in Williamsburg,private_room,Scott,2019-06-22
75635,150.0,"Manhattan, Lower East Side",Bright Cozy Chinatown Studio Apt.,entire_home/apt,Patricia,2019-06-27
76761,169.0,"Brooklyn, South Slope",Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,entire_home/apt,Evelyn,2019-06-28
77765,179.0,"Brooklyn, Greenpoint",Superior @ Box House,private_room,The Box House Hotel,2019-07-01
77936,150.0,"Manhattan, Hell's Kitchen",Hells Kitchen Garden of Eden,private_room,Moss Owen,2019-06-14
79067,350.0,"Brooklyn, Clinton Hill",Lovely 3 bedroom in Italianate Brownstone w/garden,entire_home/apt,Bliss,2019-04-20
79782,120.0,"Brooklyn, Williamsburg","Williamsburg HUGE, PRIVATE BATH - Next to Train!",private_room,Pam,2019-03-31
